('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 12697
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 21221
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 21079
('Mike', 'Mike', 'Mike', (0, 'strategy_name-2', 'buscode1'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 10432
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 10721
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 12986
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 10773
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 10642
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 10930
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 21475
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 21191
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 21478
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 21699
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 10847
('Mike', 'Mike', 'Mike', (0, 'strategy_name-2', 'buscode3'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 10777
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 12973
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 12494
('Mike', 'Mike', 'Mike', (0, 'strategy_name-2', 'buscode2'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 10480
('Mike', 'Mike', 'Mike', (0, 'strategy_name-2', 'buscode1'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 10327
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 21328
('Mike', 'Mike', 'Mike', (0, 'strategy_name-2', 'buscode2'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 10404
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 21386
('Mike', 'Mike', 'Mike', (0, 'strategy_name-2', 'buscode2'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 10608
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 12626
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 10955
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 21609
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 10653
