('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 12358
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-2', 'buscode3'), (0, 'strategy_name-3', 'buscode3')) 10399
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode1')) 20829
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-2', 'buscode1'), (0, 'strategy_name-3', 'buscode2')) 10128
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 20356
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode1')) 10361
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode3')) 12463
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode2')) 10393
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode1')) 10295
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2')) 10417
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode3')) 20852
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode3')) 20726
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode1')) 20846
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-2', 'buscode1'), (0, 'strategy_name-3', 'buscode3')) 10457
('Mike', 'Mike', 'Mike', (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2')) 20916
('John', 'Mike', 'John', (0, 'strategy_name-3', 'buscode3'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode3')) 10453
('Mike', 'John', 'Mike', (0, 'strategy_name-3', 'buscode1'), (0, 'strategy_name-3', 'buscode2'), (0, 'strategy_name-3', 'buscode1')) 12664
